Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2000-01-01,00:47:26,-152.53,59.93,89.4,1.4,ml,ak
2000-01-01,00:51:11,-152.97,59.59,91.9,1.6,ml,ak
2000-01-01,03:24:23,-150.3,62.75,93.3,2.5,ml,ak
2000-01-01,06:04:10,-152.7,59.63,83.0,2.7,ml,ak
2000-01-01,08:09:38,-150.89,60.27,60.3,2.8,ml,ak
2000-01-01,15:20:22,-149.75,61.69,45.8,2.8,ml,ak
2000-01-01,19:49:23,-152.52,60.57,4.5,1.2,ml,ak
2000-01-01,21:22:30,-150.14,60.56,18.0,2.4,ml,ak
2000-01-02,01:54:28,-152.59,59.93,94.4,1.9,ml,ak
2000-01-02,03:36:01,-152.84,60.22,7.4,1.4,ml,ak
2000-01-02,06:10:46,-152.15,60.42,87.2,1.3,ml,ak
2000-01-02,09:05:20,-152.23,61.31,2.9,0.0,ml,ak
2000-01-02,09:17:01,-151.18,62.44,93.5,3.1,ml,ak
2000-01-02,13:00:31,-151.84,59.77,66.6,1.5,ml,ak
2000-01-02,13:25:00,-152.92,59.31,92.0,1.8,ml,ak
2000-01-02,15:13:48,-151.1,60.85,62.8,1.7,ml,ak
2000-01-02,18:35:10,-147.45,61.17,22.8,0.6,ml,ak
2000-01-02,18:51:20,-150.78,60.68,37.0,1.3,ml,ak
2000-01-02,20:05:25,-152.91,59.9,97.9,1.8,ml,ak
2000-01-03,00:04:19,-152.14,61.31,113.2,2.3,ml,ak
2000-01-03,02:12:24,-151.87,59.07,62.0,2.1,ml,ak
2000-01-03,02:20:13,-150.5,61.3,10.8,1.4,ml,ak
2000-01-03,02:23:56,-151.81,62.37,105.5,1.8,ml,ak
2000-01-03,04:58:26,-152.08,60.77,84.5,1.7,ml,ak
2000-01-03,05:01:24,-148.88,63.39,85.5,2.7,ml,ak
2000-01-03,05:14:25,-149.93,61.87,36.7,2.8,ml,ak
2000-01-03,10:38:09,-150.69,59.82,27.1,2.0,ml,ak
2000-01-03,11:36:46,-151.51,60.28,51.0,1.4,ml,ak
2000-01-03,13:08:24,-153.1,60.19,123.2,1.8,ml,ak
2000-01-03,16:42:51,-152.57,60.3,104.5,1.6,ml,ak
2000-01-03,16:45:56,-150.9,60.87,13.6,1.1,ml,ak
2000-01-03,17:21:53,-149.95,62.54,65.3,1.5,ml,ak
2000-01-03,19:34:30,-152.6,60.56,13.8,0.7,ml,ak
2000-01-03,19:47:49,-151.81,59.85,42.4,1.4,ml,ak
2000-01-03,19:49:22,-152.25,61.19,8.1,0.3,ml,ak
2000-01-03,19:55:22,-152.45,61.46,126.7,2.7,ml,ak
2000-01-03,20:55:50,-150.98,61.41,68.2,1.5,ml,ak
2000-01-03,21:16:18,-152.67,59.96,85.6,1.6,ml,ak
2000-01-03,23:04:20,-151.45,59.78,24.9,1.6,ml,ak
2000-01-04,01:34:52,-149.29,60.75,18.4,1.1,ml,ak
2000-01-04,04:15:24,-146.5,61.13,11.5,2.2,ml,ak
2000-01-04,07:22:06,-151.59,59.75,32.3,1.5,ml,ak
2000-01-04,07:51:58,-148.86,60.72,26.4,1.7,ml,ak
2000-01-04,08:52:31,-151.21,61.39,66.0,1.8,ml,ak
2000-01-04,10:02:42,-152.08,61.45,9.8,0.6,ml,ak
2000-01-04,15:10:02,-148.18,62.31,21.8,1.8,ml,ak
2000-01-04,16:01:10,-148.18,61.19,11.0,0.9,ml,ak
2000-01-04,17:57:35,-152.01,60.86,87.2,1.5,ml,ak
2000-01-04,18:11:40,-152.13,59.78,52.7,2.6,ml,ak
2000-01-04,18:58:11,-151.51,60.94,74.9,1.5,ml,ak
2000-01-04,20:50:17,-146.96,61.78,19.4,1.8,ml,ak
2000-01-04,21:48:13,-149.75,61.16,35.3,1.8,ml,ak
2000-01-04,23:00:25,-148.64,60.5,7.6,2.1,ml,ak
2000-01-04,23:55:15,-151.96,61.45,5.2,0.5,ml,ak
2000-01-05,01:21:26,-150.91,61.33,66.0,1.2,ml,ak
2000-01-05,02:46:44,-150.23,60.92,56.6,4.4,mb,ak
2000-01-05,08:16:21,-152.97,60.24,14.5,0.5,ml,ak
2000-01-05,09:50:27,-151.97,61.04,82.2,1.0,ml,ak
2000-01-05,11:09:18,-153.66,59.7,132.3,2.1,ml,ak
2000-01-05,11:40:32,-149.67,60.75,36.4,2.9,ml,ak
2000-01-05,12:57:20,-148.82,63.24,80.1,2.8,ml,ak
2000-01-05,13:03:21,-149.17,60.91,35.0,1.1,ml,ak
2000-01-05,13:21:17,-150.81,61.99,63.4,2.1,ml,ak
2000-01-05,14:01:40,-151.26,61.2,66.3,1.2,ml,ak
2000-01-05,16:56:49,-150.42,61.62,48.9,1.5,ml,ak
2000-01-05,18:58:18,-151.32,61.6,4.4,0.9,ml,ak
2000-01-05,19:14:27,-150.79,60.95,20.2,1.1,ml,ak
2000-01-05,19:50:02,-151.3,61.01,67.1,2.4,ml,ak
2000-01-05,20:42:04,-149.42,62.59,56.4,1.8,ml,ak
2000-01-06,01:05:31,-150.24,61.51,37.7,1.3,ml,ak
2000-01-06,01:39:15,-150.72,61.06,58.7,1.4,ml,ak
2000-01-06,03:35:22,-151.74,61.54,90.3,2.0,ml,ak
2000-01-06,10:42:25,-136.87,58.04,1.0,6.1,mwc,hrv
